School Name,Total Absences,1-5 Absences,6-10 Absences,11-20 Absences,21+ Absences,School Year
Ludlow-Taylor ES,355,239,33,0,0,8/31/19
Luke Moore Alternative HS,159,12,10,33,98,8/31/19
MacFarland MS,591,303,105,77,28,8/31/19
Malcolm X ES @ Green,184,85,73,22,0,8/31/19
Mann ES,396,126,0,0,0,8/31/19
Marie Reed ES,376,214,38,0,0,8/31/19
Maury ES,382,190,19,0,0,8/31/19
McKinley MS,275,89,68,64,42,8/31/19
McKinley Technology HS,650,410,113,34,0,8/31/19
Miner ES,270,148,58,19,0,8/31/19
Moten ES,246,116,56,43,17,8/31/19
Murch ES,585,303,25,0,0,8/31/19
Nalle ES,279,156,73,20,0,8/31/19
Noyes ES,193,124,16,0,0,8/31/19
Oyster-Adams Bilingual,698,372,32,0,0,8/31/19
Patterson ES,343,166,123,21,17,8/31/19
Payne ES,255,141,46,20,0,8/31/19
Peabody ES,87,56,14,0,0,8/31/19
Phelps ACE HS,250,162,28,15,0,8/31/19
Plummer ES,248,113,62,46,0,8/31/19
Powell ES,457,247,20,0,0,8/31/19
Randle Highlands ES,286,197,0,0,0,8/31/19
Raymond EC,447,288,84,20,11,8/31/19
River Terrace 69,21,14,13,14,,8/31/19
Ron Brown High School,254,51,54,59,86,8/31/19
Roosevelt High School,762,169,132,150,289,8/31/19
Roosevelt STAY,224,0,15,34,163,8/31/19
Ross ES,164,90,0,0,0,8/31/19
Savoy ES,231,91,74,40,0,8/31/19
School Without Walls HS,594,292,31,11,0,8/31/19
School-Within-School @ Goding,244,145,17,0,0,8/31/19
Seaton ES,305,177,27,11,,8/31/19
0 Shepherd ES,318,168,0,0,0,8/31/19
Simon ES,229,111,67,24,0,8/31/19
Smothers ES,195,100,55,11,0,8/31/19
Sousa MS,314,135,75,68,26,8/31/19
Stanton ES,367,132,115,62,16,8/31/19
Stoddert ES,489,263,27,0,0,8/31/19
Stuart-Hobson MS,502,313,53,25,14,8/31/19
SWW @ Francis Stevens,489,264,43,22,0,8/31/19
Takoma EC,448,238,53,24,10,8/31/19
Thomas ES,267,135,60,45,10,8/31/19
Thomson ES,255,120,22,0,0,8/31/19
Truesdell EC,492,283,71,35,0,8/31/19
Tubman ES,520,295,86,45,11,8/31/19
Turner ES,441,174,127,85,23,8/31/19
Tyler ES,416,272,37,17,0,8/31/19
Van Ness ES,258,147,38,0,0,8/31/19
Walker-Jones EC,375,204,80,29,10,8/31/19
Washington Metropolitan HS,149,0,0,16,27,8/31/19
Watkins ES,463,283,0,0,0,8/31/19
West EC,280,154,47,26,13,8/31/19
Wheatley EC,296,174,51,30,0,8/31/19
Whittier EC,308,163,57,26,19,8/31/19
Wilson HS,1855,969,345,205,169,8/31/19
H.D Woodson HS,510,67,84,160,196,8/31/19
Youth Services Center,106,29,0,0,0,8/31/19
Aiton ES,172,20,28,48,76,8/31/20
Amidon-Bowen ES,260,102,57,26,48,8/31/20
Anacostia HS,309,28,21,64,190,8/31/20
Ballou HS,633,78,68,131,330,8/31/20
Ballou STAY,90,0,0,0,70,8/31/20
Bancroft ES,539,286,86,48,21,8/31/20
Bard High School Early College DC,265,140,41,29,16,8/31/20
Barnard ES,490,204,50,42,72,8/31/20
Beers ES,386,100,61,63,119,8/31/20
Benjamin Banneker HS,550,258,53,12,0,8/31/20
Brent ES,371,222,40,11,0,8/31/20
Brightwood EC,557,228,75,59,53,8/31/20
Brookland MS,359,203,103,13,27,8/31/20
Browne EC,350,142,102,31,61,8/31/20
Bruce-Monroe ES @ Park View,384,144,76,72,33,8/31/20
Bunker Hill ES,159,67,19,11,28,8/31/20
Burroughs ES,202,79,42,22,39,8/31/20
Burrville ES,215,17,31,38,127,8/31/20
C.W. Harris ES,201,64,49,31,53,8/31/20
Cap Hill Montessori @ Logan,263,74,65,43,35,8/31/20
Cardozo EC,584,110,80,123,248,8/31/20
Cleveland ES,234,78,41,51,45,8/31/20
Columbia Heights EC (CHEC),1436,395,245,278,414,8/31/20
Coolidge HS,563,91,71,100,283,8/31/20
Deal MS,1496,726,199,76,38,8/31/20
Dorothy L.Height ES,339,127,66,41,56,8/31/20
Drew ES,181,30,18,26,103,8/31/20
Dunbar HS,674,81,74,127,381,8/31/20
Eastern HS,705,118,101,118,329,8/31/20
Eaton ES,400,230,52,11,12,8/31/20
Eliot-Hine MS,273,69,45,70,66,8/31/20
Ellington School of the Arts,585,170,140,115,106,8/31/20
Excel Academy,399,155,90,33,75,8/31/20
Garfield ES,233,23,72,71,64,8/31/20
Garrison ES,236,66,42,43,70,8/31/20
H.D. Cooke ES,321,108,53,70,55,8/31/20
Hardy MS,526,220,138,84,25,8/31/20
Hart MS,495,101,174,143,68,8/31/20
Hearst ES,310,151,24,13,0,8/31/20
Hendley ES,285,15,39,74,155,8/31/20
Houston ES,206,44,32,34,90,8/31/20
Hyde-Addison ES,341,155,51,36,23,8/31/20
Ida B. Wells MS,380,165,54,34,55,8/31/20
J.O. Wilson ES,350,103,63,68,93,8/31/20
Janney ES,639,289,35,10,0,8/31/20
Jefferson MS Academy,381,99,100,83,78,8/31/20
Johnson John Hayden MS,373,62,64,105,128,8/31/20
 Kelly Miller MS,523,57,71,122,265,8/31/20
Ketcham ES,267,42,36,51,131,8/31/20
Key ES,331,217,42,20,18,8/31/20
Kimball ES,320,28,39,77,175,8/31/20
King M.L. ES,243,58,47,44,90,8/31/20
Kramer MS,254,0,24,59,159,8/31/20
Lafayette ES,848,504,126,72,38,8/31/20
Langdon ES,285,84,44,69,66,8/31/20
Langley ES,224,53,24,46,91,8/31/20
LaSalle-Backus EC,254,88,43,31,57,8/31/20
Lawrence E. Boone Es,344,64,52,65,154,8/31/20
Leckie EC,398,82,44,88,158,8/31/20
Ludlow-Taylor ES,348,112,64,66,83,8/31/20
Luke Moore Alternative HS,78,0,0,12,55,8/31/20
MacFarland MS,675,174,117,117,187,8/31/20
Malcolm X ES @ Green,185,0,24,35,119,8/31/20
Mann ES,366,185,44,28,13,8/31/20
Marie Reed ES,363,170,75,44,35,8/31/20
Maury ES,418,225,31,21,18,8/31/20
McKinley MS,292,132,64,34,52,8/31/20
McKinley Technology HS,692,335,129,71,23,8/31/20
Miner ES,289,75,42,70,86,8/31/20
Moten ES,188,27,51,35,71,8/31/20
Murch ES,564,404,41,16,0,8/31/20
Nalle ES,257,27,52,60,118,8/31/20
Noyes ES,180,47,41,28,57,8/31/20
Oyster-Adams Bilingual,705,269,16,0,0,8/31/20
Patterson ES,263,26,59,31,145,8/31/20
Payne ES,249,101,54,16,41,8/31/20
Peabody ES (Capitol Hill Clus),82,28,24,17,0,8/31/20
Phelps ACE HS,278,130,51,41,0,8/31/20
Plummer ES,204,36,25,24,117,8/31/20
Powell ES,456,178,92,71,41,8/31/20
Randle Highlands ES,255,34,42,68,110,8/31/20
RaymondEC,375,109,54,81,111,8/31/20
River Terrace,56,11,0,0,17,8/31/20
Ron Brown High School,216,40,38,52,76,8/31/20
Roosevelt High School,729,142,93,141,300,8/31/20
Roosevelt STAY,145,16,11,15,100,8/31/20
Ross ES,158,78,11,0,0,8/31/20
Savoy ES,225,0,10,39,170,8/31/20
School Without Walls HS,600,204,0,0,0,8/31/20
School-Within-School@Goding,238,135,34,0,0,8/31/20
Seaton ES,280,110,37,20,42,8/31/20
Shepherd ES,315,150,45,38,16,8/31/20
Simon ES,208,30,29,43,101,8/31/20
Smothers ES,177,21,25,39,86,8/31/20
Sousa MS,285,105,75,38,43,8/31/20
Stanton ES,323,39,51,64,167,8/31/20
Stoddert ES,430,214,36,28,0,8/31/20
Stuart-Hobson MS,523,196,114,71,56,8/31/20
SWW @ Francis Stevens,536,223,121,92,65,8/31/20
Takoma EC,381,101,63,72,115,8/31/20
Thomas ES,251,42,33,55,113,8/31/20
Thomson ES,229,144,21,0,0,8/31/20
Truesdell EC,382,146,48,40,54,8/31/20
Tubman ES,495,132,86,103,105,8/31/20
Turner ES,436,48,56,91,237,8/31/20
Tyler ES,416,185,56,41,86,8/31/20
Van Ness ES,307,97,61,61,60,8/31/20
Walker-Jones EC,332,102,71,53,76,8/31/20
Watkins ES (Capitol Hill Clus),452,277,88,20,10,8/31/20
West EC,244,100,49,23,32,8/31/20
Wheatley EC,263,65,49,43,95,8/31/20
Whittier EC,272,102,57,29,64,8/31/20
Wilson HS,1910,767,303,226,237,8/31/20
HD Woodson HS,417,48,32,74,258,8/31/20
Youth Services Center,91,40,0,0,0,8/31/20
Aiton ES,175,31,44,50,46,8/31/21
Amidon-Bowen ES,297,146,80,30,24,8/31/21
Anacostia HS,372,17,19,53,279,8/31/21
Ballou HS,684,9,13,61,595,8/31/21
Ballou STAY,59,3,1,13,42,8/31/21
Bancroft ES,598,378,60,27,7,8/31/21
Bard High School Early College DC,380,55,58,91,174,8/31/21
Barnard ES,512,298,81,21,33,8/31/21
Beers ES,326,113,73,72,45,8/31/21
Benjamin Banneker HS,536,331,91,36,7,8/31/21
Brent ES,382,255,38,15,6,8/31/21
Brightwood Elementary School,529,227,130,95,57,8/31/21
Brookland MS,372,258,52,11,22,8/31/21
Browne EC,413,153,130,80,40,8/31/21
Bruce-Monroe ES @ Park View,386,203,67,29,28,8/31/21
Bunker Hill ES,165,59,42,29,27,8/31/21
Burroughs ES,194,63,53,36,27,8/31/21
Burrville ES,217,87,63,43,21,8/31/21
C.W.Harris ES,223,57,74,49,40,8/31/21
Cap Hill Montessori @ Logan,278,135,57,35,12,8/31/21
Cardozo EC,679,79,80,122,385,8/31/21
Cleveland ES,218,119,44,13,7,8/31/21
Columbia Heights EC (CHEC),1538,209,234,303,772,8/31/21
Coolidge HS,774,88,74,121,479,8/31/21
Deal MS ,453,787,124,69,84,8/31/21
Dorothy L. Height ES,331,158,81,40,24,8/31/21
Drew ES,170,43,61,48,16,8/31/21
Dunbar HS,808,41,59,116,586,8/31/21
Eastern HS,777,69,54,100,544,8/31/21
Eaton ES,412,200,34,15,7,8/31/21
Eliot-Hine MS,342,87,64,68,111,8/31/21
Ellington School of the Arts,574,151,134,113,162,8/31/21
Excel Academy,398,93,141,68,89,8/31/21
Garfield ES,223,34,90,71,27,8/31/21
Garrison ES,262,148,57,16,15,8/31/21
H.D. Cooke ES,329,165,86,41,15,8/31/21
Hardy MS,569,292,121,67,33,8/31/21
Hart MS,475,158,133,104,66,8/31/21
Hearst ES,303,181,20,0,0,8/31/21
Hendley ES,299,50,56,67,125,8/31/21
Houston ES,219,72,50,38,48,8/31/21
Hyde-Addison ES,335,184,61,37,10,8/31/21
Ida B. Wells MS,592,176,129,135,132,8/31/21
J.O. Wilson ES,341,204,92,21,6,8/31/21
Janney ES,602,405,27,3,0,8/31/21
Jefferson MS Academy,394,84,64,93,144,8/31/21
John Lewis Elementary School,305,143,50,39,51,8/31/21
Johnson John Hayden MS,357,38,89,129,97,8/31/21
Kelly Miller MS,448,18,31,112,287,8/31/21
Ketcham ES,247,53,58,62,71,8/31/21
Key ES,290,181,22,4,3,8/31/21
Kimball ES,357,43,69,117,126,8/31/21
King M.L. ES,209,18,37,58,95,8/31/21
Kramer MS,310,8,17,61,224,8/31/21
Lafayette ES,817,503,27,4,1,8/31/21
Langdon ES,282,86,65,46,76,8/31/21
Langley ES,259,67,70,49,69,8/31/21
LaSalle-Backus Elementary School,229,89,62,33,25,8/31/21
Lawrence E. Boone ES,345,111,130,56,40,8/31/21
Leckie EC,393,77,101,115,96,8/31/21
Ludlow-Taylor ES,350,208,55,29,20,8/31/21
Luke Moore Alternative HS,81,1,4,11,64,8/31/21
MacFarland MS,707,207,169,170,147,8/31/21
Malcolm X ES @ Green,199,49,54,63,29,8/31/21
Mann ES,336,176,16,4,1,8/31/21
Marie Reed ES,377,199,71,30,19,8/31/21
Maury ES,443,265,40,21,9,8/31/21
McKinley MS,309,43,82,93,91,8/31/21
McKinley Technology HS,690,189,190,155,128,8/31/21
Miner ES,312,96,97,54,56,8/31/21
Moten ES,196,55,51,38,47,8/31/21
Murch ES,590,330,36,9,13,8/31/21
Nalle ES,263,66,67,60,67,8/31/21
Noyes ES,236,92,42,43,40,8/31/21
Oyster-Adams Bilingual,726,420,39,10,3,8/31/21
Patterson ES,268,25,71,134,35,8/31/21
Payne ES,230,122,64,26,6,8/31/21
Peabody ES (Capitol Hill Clus),79,57,13,3,0,8/31/21
Phelps ACE HS,325,113,106,61,27,8/31/21
Plummer ES,194,71,84,20,16,8/31/21
Powell ES,428,241,93,29,16,8/31/21
Randle Highlands ES,244,137,55,9,12,8/31/21
Raymond Elementary School,341,210,60,28,29,8/31/21
River Terrace,47,10,10,9,14,8/31/21
Ron Brown High School,199,29,37,34,96,8/31/21
Roosevelt High School,831,80,94,102,537,8/31/21
Roosevelt STAY,129,16,6,20,79,8/31/21
Ross ES,151,89,16,7,0,8/31/21
Savoy ES,229,28,30,55,115,8/31/21
School Without Walls HS,594,327,49,8,3,8/31/21
School-WithinSchool @ Goding,245,153,28,7,1,8/31/21
Seaton ES ,271,128,71,22,35,8/31/21
Shepherd ES,312,202,14,8,6,8/31/21
Simon ES,205,32,35,53,82,8/31/21
Smothers ES,175,23,46,40,64,8/31/21
Sousa MS,270,42,53,73,98,8/31/21
Stanton ES,305,26,57,83,137,8/31/21
Stoddert ES,443,250,37,6,2,8/31/21
Stuart-Hobson MS,519,210,117,91,61,8/31/21
SWW @ Francis Stevens,490,279,88,41,29,8/31/21
Takoma Elementary School,318,148,53,26,38,8/31/21
Thomas ES,242,96,102,23,16,8/31/21
Thomson ES,223,126,34,16,1,8/31/21
Truesdell Elementary School,373,184,102,27,15,8/31/21
Tubman ES,512,228,141,59,46,8/31/21
Turner ES,438,58,91,138,143,8/31/21
Tyler ES,386,222,57,22,22,8/31/21
Van Ness ES,324,154,52,36,40,8/31/21
Walker-Jones EC,388,42,72,117,153,8/31/21
Watkins ES (Capitol Hill Cluster),434,284,70,11,0,8/31/21
Wheatley EC,324,78,60,83,97,8/31/21
Whittier Elementary School,284,160,57,23,19,8/31/21
Wilson HS,2085,655,496,348,512,8/31/21
H.D. Woodson HS,509,20,28,73,386,8/31/21