School Name,Total Absences,1-5 Absences,6-10 Absences,11-20 Absences,21+ Absences
Aiton ES,172,20,28,48,76
Amidon-Bowen ES,260,102,57,26,48
Anacostia HS,309,28,21,64,190
Ballou HS,633,78,68,131,330
Ballou STAY,90,n<10,n<10,n<10,70
Bancroft ES,539,286,86,48,21
Bard High School Early College DC,265,140,41,29,16
Barnard ES,490,204,50,42,72
Beers ES,386,100,61,63,119
Benjamin Banneker HS,550,258,53,12,n<10
Brent ES,371,222,40,11,n<10
Brightwood EC,557,228,75,59,53
Brookland MS,359,203,103,13,27
Browne EC,350,142,102,31,61
Bruce-Monroe ES @ Park View,384,144,76,72,33
Bunker Hill ES,159,67,19,11,28
Burroughs ES,202,79,42,22,39
Burrville ES,215,17,31,38,127
C.W. Harris ES,201,64,49,31,53
Cap Hill Montessori @ Logan,263,74,65,43,35
Cardozo EC,584,110,80,123,248
Cleveland ES,234,78,41,51,45
Columbia Heights EC (CHEC),1436,395,245,278,414
Coolidge HS,563,91,71,100,283
Deal MS,1496,726,199,76,38
Dorothy L.Height ES,339,127,66,41,56
Drew ES,181,30,18,26,103
Dunbar HS,674,81,74,127,381
Eastern HS,705,118,101,118,329
Eaton ES,400,230,52,11,12
Eliot-Hine MS,273,69,45,70,66
Ellington School of the Arts,585,170,140,115,106
Excel Academy,399,155,90,33,75
Garfield ES,233,23,72,71,64
Garrison ES,236,66,42,43,70
H.D. Cooke ES,321,108,53,70,55
Hardy MS,526,220,138,84,25
Hart MS,495,101,174,143,68
Hearst ES,310,151,24,13,n<10
Hendley ES,285,15,39,74,155
Houston ES,206,44,32,34,90
Hyde-Addison ES,341,155,51,36,23
Ida B. Wells MS,380,165,54,34,55
J.O. Wilson ES,350,103,63,68,93
Janney ES,639,289,35,10,n<10
Jefferson MS Academy,381,99,100,83,78
Johnson John Hayden MS,373,62,64,105,128
 Kelly Miller MS,523,57,71,122,265
Ketcham ES,267,42,36,51,131
Key ES,331,217,42,20,18
Kimball ES,320,28,39,77,175
King M.L. ES,243,58,47,44,90
Kramer MS,254,n<10,24,59,159
Lafayette ES,848,504,126,72,38
Langdon ES,285,84,44,69,66
Langley ES,224,53,24,46,91
LaSalle-Backus EC,254,88,43,31,57
Lawrence E. Boone Es,344,64,52,65,154
Leckie EC,398,82,44,88,158
Ludlow-Taylor ES,348,112,64,66,83
Luke Moore Alternative HS,78,n<10,n<10,12,55
MacFarland MS,675,174,117,117,187
Malcolm X ES @ Green,185,n<10,24,35,119
Mann ES,366,185,44,28,13
Marie Reed ES,363,170,75,44,35
Maury ES,418,225,31,21,18
McKinley MS,292,132,64,34,52
McKinley Technology HS,692,335,129,71,23
Miner ES,289,75,42,70,86
Moten ES,188,27,51,35,71
Murch ES,564,404,41,16,n<10
Nalle ES,257,27,52,60,118
Noyes ES,180,47,41,28,57
Oyster-Adams Bilingual,705,269,16,n<10,n<10
Patterson ES,263,26,59,31,145
Payne ES,249,101,54,16,41
Peabody ES (Capitol Hill Clus),82,28,24,17,n<10
Phelps ACE HS,278,130,51,41,n<10
Plummer ES,204,36,25,24,117
Powell ES,456,178,92,71,41
Randle Highlands ES,255,34,42,68,110
RaymondEC,375,109,54,81,111
River Terrace,56,11,n<10,n<10,17
Ron Brown High School,216,40,38,52,76
Roosevelt High School,729,142,93,141,300
Roosevelt STAY,145,16,11,15,100
Ross ES,158,78,11,n<10,n<10
Savoy ES,225,n<10,10,39,170
School Without Walls HS,600,204,n<10,n<10,n<10
School-Within-School@Goding,238,135,34,n<10,n<10
Seaton ES,280,110,37,20,42
Shepherd ES,315,150,45,38,16
Simon ES,208,30,29,43,101
Smothers ES,177,21,25,39,86
Sousa MS,285,105,75,38,43
Stanton ES,323,39,51,64,167
Stoddert ES,430,214,36,28,n<10
Stuart-Hobson MS,523,196,114,71,56
SWW @ Francis Stevens,536,223,121,92,65
Takoma EC,381,101,63,72,115
Thomas ES,251,42,33,55,113
Thomson ES,229,144,21,n<10,n<10
Truesdell EC,382,146,48,40,54
Tubman ES,495,132,86,103,105
Turner ES,436,48,56,91,237
Tyler ES,416,185,56,41,86
Van Ness ES,307,97,61,61,60
Walker-Jones EC,332,102,71,53,76
Watkins ES (Capitol Hill Clus),452,277,88,20,10
West EC,244,100,49,23,32
Wheatley EC,263,65,49,43,95
Whittier EC,272,102,57,29,64
Wilson HS,1910,767,303,226,237
HD Woodson HS,417,48,32,74,258
Youth Services Center,91,40,n<10,n<10,n<10